transaction_id,date,product_category,product_name,quantity,unit_price,customer_id,region,payment_method
1001,2026-01-15,Electronics,Wireless Mouse,2,25.50,C001,North,Credit Card
1002,2026-01-15,Clothing,Cotton T-Shirt,3,19.99,C002,South,Debit Card
1003,2026-01-16,Electronics,USB-C Hub,1,45.00,,East,Cash
1004,2026-01-16,Groceries,Organic Almonds,5,8.99,C003,West,PayPal
1005,2026-01-17,Clothing,Denim Jacket,1,89.99,C004,North,Credit Card
1006,2026-01-17,Groceries,Whole Wheat Bread,2,4.49,C005,South,Cash
1007,2026-01-18,Electronics,Bluetooth Speaker,1,35.00,C006,East,Debit Card
1008,2026-01-18,Clothing,Running Shoes,1,120.00,C007,West,Credit Card
1009,2026-01-19,Groceries,Organic Eggs,2,6.99,,North,PayPal
1010,2026-01-19,Electronics,4K Webcam,1,89.99,C008,South,Debit Card
1011,2026-01-20,Clothing,Wool Scarf,2,29.99,C009,East,Cash
1012,2026-01-20,Groceries,Greek Yogurt,4,5.49,C010,West,Credit Card
1013,2026-01-21,Electronics,Mechanical Keyboard,1,150.00,C011,North,PayPal
1014,2026-01-21,Clothing,Leather Belt,1,45.00,,South,Debit Card
1015,2026-01-22,Groceries,Avocados,6,2.50,C012,East,Cash
1016,2026-01-22,Electronics,Portable Charger,2,29.99,C013,West,Credit Card
1017,2026-01-23,Clothing,Sunglasses,1,65.00,C014,North,Debit Card
1018,2026-01-23,Groceries,Almond Milk,2,4.99,C015,South,PayPal
1019,2026-01-24,Electronics,Wireless Earbuds,1,79.99,C016,East,Credit Card
1020,2026-01-24,Clothing,Winter Jacket,1,149.99,C017,West,Cash
1021,2026-01-25,Groceries,Coffee Beans,1,14.99,,North,Debit Card
1022,2026-01-25,Electronics,Smart Light Bulb,3,18.50,C018,South,PayPal
1023,2026-01-26,Clothing,Cotton Socks,5,8.00,C019,East,Credit Card
1024,2026-01-26,Groceries,Organic Honey,1,12.99,C020,West,Cash
1025,2026-01-27,Electronics,Tablet Stand,1,39.99,C021,North,Debit Card
